Distance (cm +- 1cm),Packet Size (b),Loss (%),Throughput (b/s),Average Delay (s),Std Dev Delay (s)
0,1,0,0.597903969612144,0.209063673019409,0.00505621224573
0,10,0,4.58081963511971,0.272876930236816,0.024277564308416
0,50,0,9.32102884326211,0.670526838302612,0.155163437039805
0,100,0,12.0480601524258,1.03751142024994,0.277262320307609
0,150,0,13.3422164720469,1.40531373023987,0.401414367544318
0,200,0,14.0861309919532,1.77479536533356,0.521843802943587
10,1,0,0.601226746223526,0.207908248901367,0.007167171849606
10,10,0,4.46796431205325,0.279769468307495,0.00669745006548
10,50,0,8.61134222674467,0.725786972045898,0.004724445623252
10,100,0,11.034727078834,1.13278741836548,0.006468609956927
10,150,0,12.1253832642384,1.5463428735733,0.006475461242508
10,200,0,12.7713220524552,1.95751073360443,0.009665083925774
20,1,0,0.59926641619508,0.208588361740112,0.007863412948053
20,10,0,4.47308528286279,0.27944917678833,0.005760387881362
20,50,0,8.64509197183512,0.72295355796814,0.005407954556453
20,100,0,11.0638868093947,1.1298018693924,0.005022806075001
20,150,0,12.1576733509867,1.5422358751297,0.006807190223913
20,200,0,12.823590428481,1.94953200817108,0.009140185302113
30,1,0,0.605671889526985,0.206382369995117,0.006160141091284
30,10,0,4.46072831415749,0.280223298072815,0.004159063296732
30,50,0,8.6603438157552,0.721680355072021,0.006664447710908
30,100,0,11.0227094667058,1.13402245044708,0.007621116302587
30,150,0,12.1717141059938,1.5404568195343,0.009090060477267
30,200,0,12.8151084371687,1.95082235336304,0.009690437829197
35,1,0,0.430218631231748,0.290549945831299,0.135851099265945
35,10,0,4.00957486673957,0.311753749847412,0.087526520507098
35,50,0,6.59706011260985,0.947391700744629,0.335328017589281
35,100,0,9.13286631841134,1.36868312358856,0.463616850113703
35,150,0,8.07196765481499,2.32285370826721,1.04188518449685
35,200,0,10.6483520297802,2.34778113365173,0.780886005000376
40,1,30,0.051255710861056,1.34817195014697,0.667517569145696
40,10,30,0.642966454186159,1.36087970733643,0.640587027321584
40,50,60,0.675268467540571,3.70223121643066,1.29278307043857
40,100,70,0.634111998143282,5.91378180980682,2.13214303712057
40,150,60,0.824395687266219,9.09757306575775,1.06293273500572
40,200,80,0.470562150018683,10.6255889892578,2.83886208078845
45,1,100,0,-,-
45,10,100,0,-,-
45,50,100,0,-,-
45,100,100,0,-,-
45,150,100,0,-,-
45,200,100,0,-,-
